Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.6463626987220292
75% Corpus,2,0.01,0.31,0.6543586300411437
75% Corpus,2,0.01,0.61,0.565082552027198
75% Corpus,2,0.01,0.9099999999999999,0.565082552027198
75% Corpus,2,0.01,symmetric,0.6433573079586867
75% Corpus,2,0.31,0.01,0.6334871998614815
75% Corpus,2,0.31,0.31,0.6412788563537621
75% Corpus,2,0.31,0.61,0.6309784590871634
75% Corpus,2,0.31,0.9099999999999999,0.6292780843091539
75% Corpus,2,0.31,symmetric,0.6291732890982304
75% Corpus,2,0.61,0.01,0.610574049002222
75% Corpus,2,0.61,0.31,0.6139542723873346
75% Corpus,2,0.61,0.61,0.6357447160493488
75% Corpus,2,0.61,0.9099999999999999,0.645069581031006
75% Corpus,2,0.61,symmetric,0.6402212339912656
75% Corpus,2,0.9099999999999999,0.01,0.5646357869700304
75% Corpus,2,0.9099999999999999,0.31,0.5693937576276143
75% Corpus,2,0.9099999999999999,0.61,0.578082426777317
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.5757146144255344
75% Corpus,2,0.9099999999999999,symmetric,0.578082426777317
75% Corpus,2,symmetric,0.01,0.6185221697460666
75% Corpus,2,symmetric,0.31,0.6154893511349782
75% Corpus,2,symmetric,0.61,0.6384498728356326
75% Corpus,2,symmetric,0.9099999999999999,0.6297594122289033
75% Corpus,2,symmetric,symmetric,0.6338804794194701
75% Corpus,2,asymmetric,0.01,0.5652759359536592
75% Corpus,2,asymmetric,0.31,0.5473618661973858
75% Corpus,2,asymmetric,0.61,0.611803588261448
75% Corpus,2,asymmetric,0.9099999999999999,0.5449258435842318
75% Corpus,2,asymmetric,symmetric,0.5704332834383056
75% Corpus,3,0.01,0.01,0.6203213161575064
75% Corpus,3,0.01,0.31,0.6216066696733459
75% Corpus,3,0.01,0.61,0.6103937861200618
75% Corpus,3,0.01,0.9099999999999999,0.620893506633441
75% Corpus,3,0.01,symmetric,0.6282246858340188
75% Corpus,3,0.31,0.01,0.6286485893531738
75% Corpus,3,0.31,0.31,0.6164027074758119
75% Corpus,3,0.31,0.61,0.6067845795750794
75% Corpus,3,0.31,0.9099999999999999,0.6270360077678471
75% Corpus,3,0.31,symmetric,0.6164027074758119
75% Corpus,3,0.61,0.01,0.6105297419560013
75% Corpus,3,0.61,0.31,0.6123125398475339
75% Corpus,3,0.61,0.61,0.6071875805858723
75% Corpus,3,0.61,0.9099999999999999,0.5866331790836657
75% Corpus,3,0.61,symmetric,0.6056181620182082
75% Corpus,3,0.9099999999999999,0.01,0.6081158515145183
75% Corpus,3,0.9099999999999999,0.31,0.6048891629802005
75% Corpus,3,0.9099999999999999,0.61,0.602561685658508
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5642450811705714
75% Corpus,3,0.9099999999999999,symmetric,0.6048891629802005
75% Corpus,3,symmetric,0.01,0.6215808754639107
75% Corpus,3,symmetric,0.31,0.6036771169944941
75% Corpus,3,symmetric,0.61,0.6242320003646172
75% Corpus,3,symmetric,0.9099999999999999,0.615152827246495
75% Corpus,3,symmetric,symmetric,0.6036771169944941
75% Corpus,3,asymmetric,0.01,0.5397977917233644
75% Corpus,3,asymmetric,0.31,0.5068958164170422
75% Corpus,3,asymmetric,0.61,0.463074411505001
75% Corpus,3,asymmetric,0.9099999999999999,0.6096107859165166
75% Corpus,3,asymmetric,symmetric,0.44660006180823647
75% Corpus,4,0.01,0.01,0.6130308809623677
75% Corpus,4,0.01,0.31,0.61621251809277
75% Corpus,4,0.01,0.61,0.5625461842504996
75% Corpus,4,0.01,0.9099999999999999,0.6039136426170589
75% Corpus,4,0.01,symmetric,0.6146367638439074
75% Corpus,4,0.31,0.01,0.5790194364707101
75% Corpus,4,0.31,0.31,0.6142174618724741
75% Corpus,4,0.31,0.61,0.5895608658158511
75% Corpus,4,0.31,0.9099999999999999,0.5484417959227464
75% Corpus,4,0.31,symmetric,0.6157621875635273
75% Corpus,4,0.61,0.01,0.5931178121984891
75% Corpus,4,0.61,0.31,0.5747238984518791
75% Corpus,4,0.61,0.61,0.5713960246477107
75% Corpus,4,0.61,0.9099999999999999,0.5499162412598174
75% Corpus,4,0.61,symmetric,0.5692634961275673
75% Corpus,4,0.9099999999999999,0.01,0.5760200561944355
75% Corpus,4,0.9099999999999999,0.31,0.5761364776779809
75% Corpus,4,0.9099999999999999,0.61,0.5184470040976519
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.49199137050344355
75% Corpus,4,0.9099999999999999,symmetric,0.586419655932353
75% Corpus,4,symmetric,0.01,0.6138969089410796
75% Corpus,4,symmetric,0.31,0.5856927689433483
75% Corpus,4,symmetric,0.61,0.5905502310896259
75% Corpus,4,symmetric,0.9099999999999999,0.5638513068769107
75% Corpus,4,symmetric,symmetric,0.6082252074555061
75% Corpus,4,asymmetric,0.01,0.5045999151389148
75% Corpus,4,asymmetric,0.31,0.45779238368919045
75% Corpus,4,asymmetric,0.61,0.3911891148975174
75% Corpus,4,asymmetric,0.9099999999999999,0.4424597716879425
75% Corpus,4,asymmetric,symmetric,0.4506687232692827
75% Corpus,5,0.01,0.01,0.5551674932123012
75% Corpus,5,0.01,0.31,0.5753938089498157
75% Corpus,5,0.01,0.61,0.5715624770470855
75% Corpus,5,0.01,0.9099999999999999,0.5861655550055314
75% Corpus,5,0.01,symmetric,0.6035808563071562
75% Corpus,5,0.31,0.01,0.5930094870348736
75% Corpus,5,0.31,0.31,0.5989324782799385
75% Corpus,5,0.31,0.61,0.5835300649653343
75% Corpus,5,0.31,0.9099999999999999,0.5333828093052311
75% Corpus,5,0.31,symmetric,0.597477604264897
75% Corpus,5,0.61,0.01,0.574917653127665
75% Corpus,5,0.61,0.31,0.5389765494714891
75% Corpus,5,0.61,0.61,0.548349614952572
75% Corpus,5,0.61,0.9099999999999999,0.5165988005110821
75% Corpus,5,0.61,symmetric,0.550081562514732
75% Corpus,5,0.9099999999999999,0.01,0.5617261599435542
75% Corpus,5,0.9099999999999999,0.31,0.541514201822043
75% Corpus,5,0.9099999999999999,0.61,0.5101369942862253
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5077029947989578
75% Corpus,5,0.9099999999999999,symmetric,0.5240372216343175
